Position,Name-Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Corey Davis Jr. / Houston,37,36,33,5.5,13,0.42,2.5,5,0.492,3,8,0.375,3.1,3.5,0.869,0.7,2.6,3.3,2.8,1,0.1,1.5,1.8,17
0,Armoni Brooks / Houston,37,36,30.7,4.6,11.5,0.405,1.4,3.1,0.443,3.3,8.4,0.39,0.8,1.2,0.63,1.1,5.2,6.3,0.9,0.8,0.3,0.9,1.6,13.4
0,Galen Robinson Jr. / Houston,37,37,29.9,2.8,6.3,0.449,2.1,4.2,0.5,0.8,2.2,0.35,1.6,2.4,0.667,0.5,2.6,3.1,4.9,1.3,0.1,1.7,1.4,8
0,Nate Hinton / Houston,37,1,19.2,2.4,5.9,0.413,1.7,3.6,0.459,0.8,2.2,0.337,1.6,1.9,0.857,1.1,3.3,4.4,1.2,1,0.1,0.9,1.5,7.2
0,Dejon Jarreau / Houston,30,0,18,3,6.4,0.471,2.6,5.3,0.494,0.4,1.1,0.364,2.3,3.3,0.694,0.3,3.4,3.8,3.3,0.6,0.5,2.1,2.3,8.7
1,Breaon Brady / Houston,37,36,13.9,2.5,4.3,0.581,2.5,4.3,0.581,0,0,0,1,1.5,0.632,1.5,2.5,4,0.4,0.5,0.6,1,3.2,6
1,Fabian White Jr. / Houston,32,21,18.4,2.5,5.4,0.457,2.5,5.4,0.459,0,0,0,1.4,2.1,0.672,1.9,2.1,4,0.7,0.4,0.6,1,2.8,6.3
1,Cedrick Alley Jr / Houston,37,16,18,1.5,4.4,0.348,0.7,1.2,0.556,0.8,3.1,0.267,0.8,1,0.763,1,2,2.9,0.7,0.5,0.2,0.7,1.2,4.6
1,Brison Gresham / Houston,37,1,13.7,1.5,2.1,0.705,1.5,2.1,0.705,0,0,0,0.5,0.9,0.514,1.7,1.8,3.5,0.4,0.3,1.3,1,2.8,3.5
1,Chris Harris / Houston,26,0,11.2,1.2,1.6,0.732,1.2,1.6,0.732,0,0,0,0.2,1.1,0.207,1.6,1.7,3.3,0.1,0.3,1,0.3,1.5,2.5
0,Landon Goesling / Houston,17,1,6.3,0.5,2.3,0.231,0.4,1.1,0.368,0.1,1.2,0.1,1.6,2.4,0.7,0.1,0.5,0.6,0.4,0.2,0,0.4,0.5,2.8
1,Caleb Broodo / Houston,8,0,1.5,0.1,0.3,0.5,0.1,0.3,0.5,0,0,0,0,0,0,0.3,0.6,0.9,0,0,0,0.1,0,0.3
0,Jarron Cumberland / Cincinnati,35,35,32.5,5.9,14.6,0.404,3.6,8.7,0.415,2.3,5.9,0.388,4.7,6,0.773,1.1,3.3,4.4,3.6,1.1,0.4,2.7,2.3,18.8
0,Keith Williams / Cincinnati,35,32,25.8,3.7,8.2,0.451,3.1,6.1,0.514,0.6,2.2,0.276,1.9,2.6,0.707,1.3,1.9,3.2,1.1,1.1,0.9,1.4,2.4,9.9
1,Tre Scott / Cincinnati,35,35,30.6,3.6,7.6,0.472,3.2,6.5,0.5,0.3,1.1,0.308,1.8,2.7,0.667,2.3,4.5,6.9,1.5,0.8,0.5,1.1,1.7,9.3
0,Justin Jenifer / Cincinnati,34,34,26.1,2.9,6.4,0.447,1.1,2.5,0.452,1.8,4,0.444,1,1.4,0.761,0.2,1.6,1.7,2.9,0.6,0,0.7,1.2,8.6
0,Cane Broome / Cincinnati,35,4,21.2,2.8,7.1,0.396,2,4.3,0.47,0.8,2.9,0.287,1.8,2.4,0.75,0.3,1.3,1.7,2.2,0.6,0,1.2,1,8.3
1,Nysier Brooks / Cincinnati,35,35,22.9,2.8,5.3,0.535,2.8,5.3,0.535,0,0,0,2.4,3.8,0.632,2.7,3.6,6.3,0.4,0.4,1.5,0.9,3.3,8.1
0,Rashawn Fredericks / Cincinnati,35,0,10.2,0.8,2.3,0.358,0.6,1.3,0.447,0.2,1,0.235,0.4,0.6,0.75,0.8,1.4,2.2,0.2,0.3,0.1,0.3,0.8,2.3
0,Trevor Moore / Cincinnati,34,0,11.9,0.8,2.5,0.318,0.3,0.5,0.529,0.5,2,0.265,0.2,0.3,0.778,0.4,1,1.4,0.5,0.4,0,0.3,1.1,2.3
0,Logan Johnson / Cincinnati,32,0,7,0.7,1.5,0.469,0.6,1.2,0.541,0.1,0.4,0.25,0.4,0.6,0.7,0.5,0.7,1.2,0.7,0.3,0.2,0.6,0.8,2
1,Mamoudou Diarra / Cincinnati,20,0,6.9,0.9,2.1,0.405,0.8,2,0.4,0.1,0.1,0.5,0.5,0.7,0.714,0.6,1.4,1.9,0.3,0.3,0.4,0.2,0.8,2.3
1,Eliel Nsoseme / Cincinnati,33,0,10.9,0.5,1.2,0.395,0.5,1.2,0.395,0,0,0,0.4,1,0.406,1,2.2,3.2,0.1,0.3,0.5,0.3,1.2,1.3
0,Sam Martin / Cincinnati,6,0,2,0.3,0.3,1,0.3,0.3,1,0,0,0,0.2,0.2,1,0,0,0,0.5,0,0,0,0.3,0.8
0,John Koz / Cincinnati,5,0,1.8,0.2,0.4,0.5,0.2,0.4,0.5,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0.2,0,0.4
0,B.J. Taylor / Central Florida,33,33,34.4,4.2,11,0.384,2.4,6,0.394,1.8,5,0.372,5.7,7.3,0.779,0.3,2,2.3,3.2,0.9,0,1.6,1.4,15.9
0,Aubrey Dawkins / Central Florida,33,33,33.4,5.5,11.8,0.463,3.3,6.4,0.514,2.2,5.5,0.403,2.5,2.9,0.835,1,4,5,1.4,1,0.3,1.6,2.2,15.6
1,Tacko Fall / Central Florida,33,33,24.9,4.7,6.2,0.748,4.7,6.2,0.748,0,0,0,1.8,4.9,0.362,2.5,5.1,7.6,0.5,0.2,2.6,1.8,2.8,11.1
1,Collin Smith / Central Florida,33,32,22.1,2.9,6.4,0.448,2.6,5.4,0.48,0.3,1,0.273,2,3.1,0.631,1.4,3.8,5.2,1.5,0.5,0.3,2,3.1,8
0,Terrell Allen / Central Florida,33,33,30.5,2.3,5.4,0.43,1.5,3.5,0.443,0.8,1.9,0.406,1.3,1.8,0.724,0.2,2.9,3.2,4.3,1.3,0,1.7,2.5,6.7
1,Chad Brown / Central Florida,33,1,17.3,1.7,3.2,0.523,1.7,3.2,0.528,0,0,0,1.1,2,0.561,1.4,3.6,5,0.4,0.3,1,0.6,1.7,4.5
0,Dayon Griffin / Central Florida,28,0,17,1.6,4.2,0.373,0.7,1.3,0.543,0.9,3,0.301,0.6,0.9,0.64,0.4,1.7,2.1,1.1,0.7,0.3,0.8,1.4,4.6
0,Frank Bertz / Central Florida,33,0,11.5,1,2.9,0.351,0.2,0.7,0.318,0.8,2.3,0.36,0.2,0.3,0.778,0.5,0.9,1.4,0.5,0.6,0.1,0.4,1,3.1
0,Ceasar DeJesus / Central Florida,28,0,11.3,1.2,2.5,0.479,1,1.9,0.538,0.2,0.7,0.316,0.8,1,0.724,0.2,0.7,0.9,0.7,0.3,0.1,0.9,0.7,3.4
0,Xavier Grant / Central Florida,6,0,2.2,0.3,0.5,0.667,0.2,0.2,1,0.2,0.3,0.5,0.3,0.3,1,0,0.3,0.3,0,0,0,0.3,0,1.2
0,Chance McSpadden / Central Florida,7,0,7.3,0.3,1,0.286,0.1,0.4,0.333,0.1,0.6,0.25,0.1,0.9,0.167,0.4,1.4,1.9,0.4,0.1,0,0.4,0.7,0.9
1,Ryan Anders / Central Florida,7,0,2.1,0.1,1,0.143,0.1,0.7,0.2,0,0.3,0,0,0,0,0.1,0.3,0.4,0.1,0,0,0,0.1,0.3
