Name,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Corey Davis Jr.,houston,37,36,33.0,5.5,13.0,.420,2.5,5.0,.492,3.0,8.0,.375,3.1,3.5,.869,0.7,2.6,3.3,2.8,1.0,0.1,1.5,1.8,17.0
Armoni Brooks,houston,37,36,30.7,4.6,11.5,.405,1.4,3.1,.443,3.3,8.4,.390,0.8,1.2,.630,1.1,5.2,6.3,0.9,0.8,0.3,0.9,1.6,13.4
Dejon Jarreau,houston,30,0,18.0,3.0,6.4,.471,2.6,5.3,.494,0.4,1.1,.364,2.3,3.3,.694,0.3,3.4,3.8,3.3,0.6,0.5,2.1,2.3,8.7
Galen Robinson Jr.,houston,37,37,29.9,2.8,6.3,.449,2.1,4.2,.500,0.8,2.2,.350,1.6,2.4,.667,0.5,2.6,3.1,4.9,1.3,0.1,1.7,1.4,8.0
Nate Hinton,houston,37,1,19.2,2.4,5.9,.413,1.7,3.6,.459,0.8,2.2,.337,1.6,1.9,.857,1.1,3.3,4.4,1.2,1.0,0.1,0.9,1.5,7.2
Fabian White Jr.,houston,32,21,18.4,2.5,5.4,.457,2.5,5.4,.459,0.0,0.0,.000,1.4,2.1,.672,1.9,2.1,4.0,0.7,0.4,0.6,1.0,2.8,6.3
Breaon Brady,houston,37,36,13.9,2.5,4.3,.581,2.5,4.3,.581,0.0,0.0,,1.0,1.5,.632,1.5,2.5,4.0,0.4,0.5,0.6,1.0,3.2,6.0
Cedrick Alley Jr,houston,37,16,18.0,1.5,4.4,.348,0.7,1.2,.556,0.8,3.1,.267,0.8,1.0,.763,1.0,2.0,2.9,0.7,0.5,0.2,0.7,1.2,4.6
Brison Gresham,houston,37,1,13.7,1.5,2.1,.705,1.5,2.1,.705,0.0,0.0,,0.5,0.9,.514,1.7,1.8,3.5,0.4,0.3,1.3,1.0,2.8,3.5
Landon Goesling,houston,17,1,6.3,0.5,2.3,.231,0.4,1.1,.368,0.1,1.2,.100,1.6,2.4,.700,0.1,0.5,0.6,0.4,0.2,0.0,0.4,0.5,2.8
Chris Harris,houston,26,0,11.2,1.2,1.6,.732,1.2,1.6,.732,0.0,0.0,,0.2,1.1,.207,1.6,1.7,3.3,0.1,0.3,1.0,0.3,1.5,2.5
Caleb Broodo,houston,8,0,1.5,0.1,0.3,.500,0.1,0.3,.500,0.0,0.0,,0.0,0.0,,0.3,0.6,0.9,0.0,0.0,0.0,0.1,0.0,0.3
Jarron Cumberland,cincinnati,35,35,32.5,5.9,14.6,.404,3.6,8.7,.415,2.3,5.9,.388,4.7,6.0,.773,1.1,3.3,4.4,3.6,1.1,0.4,2.7,2.3,18.8
Keith Williams,cincinnati,35,32,25.8,3.7,8.2,.451,3.1,6.1,.514,0.6,2.2,.276,1.9,2.6,.707,1.3,1.9,3.2,1.1,1.1,0.9,1.4,2.4,9.9
Tre Scott,cincinnati,35,35,30.6,3.6,7.6,.472,3.2,6.5,.500,0.3,1.1,.308,1.8,2.7,.667,2.3,4.5,6.9,1.5,0.8,0.5,1.1,1.7,9.3
Justin Jenifer,cincinnati,34,34,26.1,2.9,6.4,.447,1.1,2.5,.452,1.8,4.0,.444,1.0,1.4,.761,0.2,1.6,1.7,2.9,0.6,0.0,0.7,1.2,8.6
Cane Broome,cincinnati,35,4,21.2,2.8,7.1,.396,2.0,4.3,.470,0.8,2.9,.287,1.8,2.4,.750,0.3,1.3,1.7,2.2,0.6,0.0,1.2,1.0,8.3
Nysier Brooks,cincinnati,35,35,22.9,2.8,5.3,.535,2.8,5.3,.535,0.0,0.0,,2.4,3.8,.632,2.7,3.6,6.3,0.4,0.4,1.5,0.9,3.3,8.1
Mamoudou Diarra,cincinnati,20,0,6.9,0.9,2.1,.405,0.8,2.0,.400,0.1,0.1,.500,0.5,0.7,.714,0.6,1.4,1.9,0.3,0.3,0.4,0.2,0.8,2.3
Rashawn Fredericks,cincinnati,35,0,10.2,0.8,2.3,.358,0.6,1.3,.447,0.2,1.0,.235,0.4,0.6,.750,0.8,1.4,2.2,0.2,0.3,0.1,0.3,0.8,2.3
Trevor Moore,cincinnati,34,0,11.9,0.8,2.5,.318,0.3,0.5,.529,0.5,2.0,.265,0.2,0.3,.778,0.4,1.0,1.4,0.5,0.4,0.0,0.3,1.1,2.3
Logan Johnson,cincinnati,32,0,7.0,0.7,1.5,.469,0.6,1.2,.541,0.1,0.4,.250,0.4,0.6,.700,0.5,0.7,1.2,0.7,0.3,0.2,0.6,0.8,2.0
Eliel Nsoseme,cincinnati,33,0,10.9,0.5,1.2,.395,0.5,1.2,.395,0.0,0.0,,0.4,1.0,.406,1.0,2.2,3.2,0.1,0.3,0.5,0.3,1.2,1.3
